0t 1p
25.293023 0.0
25.313023 0.0
25.333024 0.0
25.353027 0.0
25.373028 0.0
25.393031 0.0
25.413032 0.0
25.433035 0.0
25.453039 0.0
25.473039 0.0
25.493039 0.0
25.513039 0.0
25.533039 0.0
25.553043 0.0
25.573044 0.0
25.593044 0.0
25.613044 0.0
25.633045 0.0
25.653048 0.0
25.67305 0.0
25.69305 0.0
25.71305 0.0
25.73305 0.0
25.75305 0.0
25.773055 0.0
25.793055 0.0
25.813055 0.0
25.833058 0.0
25.85306 0.0
25.87306 0.0
25.893061 0.0
25.913065 0.0
25.933067 0.0
25.953071 0.0
25.973071 0.0
25.993071 0.0
26.013073 0.0
26.054001 0.0
26.074001 0.0
26.094001 0.0
26.114004 0.0
26.134009 0.0
26.154012 0.0
26.174012 0.0
26.194016 0.0
26.214017 0.0
26.234021 0.0
26.254022 0.0
